Data,VT_BRL,BOVA11,IMAB11,CDI
Aug/10,-0.04160000,-0.03540000,0.02000000,0.00890000
Sep/10,0.06830000,0.06510000,0.00520000,0.00850000
Oct/10,0.04400000,0.02180000,0.01990000,0.00810000
Nov/10,-0.02440000,-0.04560000,0.00870000,0.00810000
Dec/10,0.02230000,0.02280000,0.02390000,0.00930000
Jan/11,0.01620000,-0.04010000,-0.00310000,0.00860000
Feb/11,0.04570000,0.01470000,0.00640000,0.00840000
Mar/11,-0.01950000,0.01200000,0.01560000,0.00920000
Apr/11,0.01650000,-0.03480000,0.00550000,0.00840000
May/11,-0.01870000,-0.02130000,0.01490000,0.00990000
Jun/11,-0.02760000,-0.03640000,-0.00300000,0.00960000
Jul/11,-0.02580000,-0.05380000,0.00670000,0.00970000
Aug/11,-0.05860000,-0.04180000,0.05430000,0.01070000
Sep/11,0.02880000,-0.07440000,0.00660000,0.00940000
Oct/11,0.02700000,0.11570000,0.01550000,0.00880000
Nov/11,0.07800000,-0.02410000,0.02020000,0.00860000
Dec/11,-0.02080000,-0.00360000,0.00310000,0.00910000
Jan/12,0.01090000,0.11060000,0.01630000,0.00890000
Feb/12,0.01860000,0.04130000,0.02170000,0.00750000
Mar/12,0.08680000,-0.01850000,0.01910000,0.00820000
Apr/12,0.02190000,-0.04150000,0.04420000,0.00710000
May/12,-0.02720000,-0.11990000,0.01970000,0.00740000
Jun/12,0.04690000,-0.00340000,-0.00500000,0.00640000
Jul/12,0.02420000,0.03140000,0.02880000,0.00680000
Aug/12,0.02760000,0.01910000,0.01810000,0.00690000
Sep/12,0.00740000,0.03560000,0.01440000,0.00540000
Oct/12,0.00920000,-0.03630000,0.03800000,0.00610000
Nov/12,0.04860000,0.00820000,0.00530000,0.00550000
Dec/12,-0.00510000,0.05650000,0.01920000,0.00550000
Jan/13,0.02250000,-0.01680000,0.00540000,0.00600000
Feb/13,-0.01010000,-0.04340000,-0.00880000,0.00490000
Mar/13,0.04340000,-0.01850000,-0.01880000,0.00550000
Apr/13,0.02340000,-0.01180000,0.01580000,0.00610000
May/13,0.04490000,-0.03670000,-0.04520000,0.00600000
Jun/13,0.00240000,-0.11340000,-0.02790000,0.00610000
Jul/13,0.10420000,0.01760000,0.01290000,0.00720000
Aug/13,0.01900000,0.04610000,-0.02610000,0.00710000
Sep/13,-0.01850000,0.03620000,0.00390000,0.00710000
Oct/13,0.02210000,0.02750000,0.00910000,0.00810000
Nov/13,0.08520000,-0.02690000,-0.03590000,0.00720000
Dec/13,0.02770000,-0.02030000,0.01310000,0.00790000
Jan/14,-0.01810000,-0.07520000,-0.02550000,0.00850000
Feb/14,0.01300000,-0.00820000,0.04440000,0.00790000
Mar/14,-0.02800000,0.06530000,0.00710000,0.00770000
Apr/14,0.00290000,0.02440000,0.02420000,0.00820000
May/14,0.01610000,-0.00620000,0.04270000,0.00870000
Jun/14,-0.00010000,0.03420000,0.00060000,0.00820000
Jul/14,0.01320000,0.05110000,0.01130000,0.00950000
Aug/14,0.02100000,0.09870000,0.04820000,0.00870000
Sep/14,0.05360000,-0.11810000,-0.03530000,0.00910000
Oct/14,-0.00330000,0.00650000,0.02080000,0.00950000
Nov/14,0.06560000,0.00320000,0.02140000,0.00840000
Dec/14,0.02290000,-0.08670000,-0.01910000,0.00960000
Jan/15,-0.00080000,-0.06040000,0.03120000,0.00940000
Feb/15,0.14900000,0.09650000,0.00540000,0.00820000
Mar/15,0.09150000,-0.01020000,-0.00280000,0.01040000
Apr/15,-0.05670000,0.10340000,0.02440000,0.00950000
May/15,0.07330000,-0.05990000,0.02570000,0.00990000
Jun/15,-0.04260000,0.00210000,-0.00270000,0.01070000
Jul/15,0.09530000,-0.04060000,-0.00730000,0.01180000
Aug/15,-0.00860000,-0.08160000,-0.03110000,0.01110000
Sep/15,0.08550000,-0.04210000,-0.00680000,0.01110000
Oct/15,0.02240000,0.02230000,0.02580000,0.01110000
Nov/15,-0.00170000,-0.01580000,0.01030000,0.01060000
Dec/15,0.00110000,-0.03590000,0.01520000,0.01160000
Jan/16,-0.02600000,-0.06980000,0.01910000,0.01060000
Feb/16,-0.03610000,0.05770000,0.02260000,0.01000000
Mar/16,-0.02430000,0.17350000,0.05310000,0.01160000
Apr/16,-0.03200000,0.07220000,0.03930000,0.01060000
May/16,0.04580000,-0.09840000,-0.00100000,0.01110000
Jun/16,-0.10130000,0.06130000,0.01930000,0.01160000
Jul/16,0.05260000,0.11580000,0.02510000,0.01110000
Aug/16,0.00060000,0.00450000,0.00890000,0.01220000
Sep/16,0.00960000,0.01130000,0.01570000,0.01110000
Oct/16,-0.03550000,0.11210000,0.00640000,0.01050000
Nov/16,0.08490000,-0.04610000,-0.01220000,0.01040000
Dec/16,-0.03970000,-0.02930000,0.02910000,0.01120000
Jan/17,0.00260000,0.07130000,0.01870000,0.01090000
Feb/17,0.01710000,0.03380000,0.03850000,0.00870000
Mar/17,0.02320000,-0.02670000,0.01040000,0.01050000
Apr/17,0.02930000,0.00650000,-0.00320000,0.00790000
May/17,0.04530000,-0.04160000,-0.01190000,0.00930000
Jun/17,0.01360000,0.00610000,0.00160000,0.00810000
Jul/17,-0.00540000,0.04580000,0.04000000,0.00800000
Aug/17,-0.00180000,0.07360000,0.01340000,0.00800000
Sep/17,0.01950000,0.04630000,0.01810000,0.00640000
Oct/17,0.06180000,0.00270000,-0.00380000,0.00640000
Nov/17,0.01280000,-0.03300000,-0.00760000,0.00570000
Dec/17,0.02510000,0.06370000,0.00830000,0.00540000
Jan/18,0.01970000,0.11080000,0.03400000,0.00580000
Feb/18,-0.02370000,0.00610000,0.00550000,0.00470000
Mar/18,0.00030000,-0.00080000,0.00940000,0.00530000
Apr/18,0.05490000,0.00910000,-0.00140000,0.00520000
May/18,0.08250000,-0.10950000,-0.03160000,0.00520000
Jun/18,0.02300000,-0.05020000,-0.00320000,0.00520000
Jul/18,0.00120000,0.08670000,0.02320000,0.00540000
Aug/18,0.12230000,-0.03050000,-0.00450000,0.00570000
Sep/18,-0.02800000,0.03360000,-0.00150000,0.00470000
Oct/18,-0.15480000,0.09750000,0.07140000,0.00540000
Nov/18,0.06050000,0.02720000,0.00900000,0.00490000
Dec/18,-0.07390000,-0.02050000,0.01650000,0.00490000
Jan/19,0.03390000,0.11110000,0.04370000,0.00540000
Feb/19,0.04110000,-0.02290000,0.00550000,0.00490000
Mar/19,0.05920000,-0.00040000,0.00580000,0.00470000
Apr/19,0.04470000,0.01170000,0.01510000,0.00520000
May/19,-0.05120000,0.00760000,0.03660000,0.00540000
Jun/19,0.01240000,0.03760000,0.03730000,0.00470000
Jul/19,0.00050000,0.00900000,0.01270000,0.00570000
Aug/19,0.07680000,-0.00380000,-0.00430000,0.00500000
Sep/19,0.01420000,0.03480000,0.02840000,0.00460000
Oct/19,-0.00860000,0.02200000,0.03340000,0.00480000
Nov/19,0.08960000,0.01080000,-0.02480000,0.00380000
Dec/19,-0.02650000,0.06590000,0.01980000,0.00370000
